benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time (s),execution_time (s)
box_blur_3,11,0,0,2,0,0,6,0,9.853,0.352
box_blur_4,8,0,0,2,0,0,5,0,10.008,0.219
box_blur_5,8,0,0,0,0,0,5,0,10.576,0.188
box_blur_8
box_blur_16
box_blur_25
box_blur_32
lin_reg_3
lin_reg_4,2,0,0,1,0,1,4,1,8.931,0.207
lin_reg_5
lin_reg_8,2,0,0,1,0,1,4,1,8.968,0.208
lin_reg_16,2,0,0,1,0,1,4,1,9.205,0.208
lin_reg_25,2,0,1,0,0,1,3,1,9.220,0.044
lin_reg_32,2,0,1,0,0,1,3,1,12.672,0.043
hamming_dist_3,4,2,1,6,0,4,12,2,11.145,0.698
hamming_dist_4,4,2,1,5,0,4,11,2,10.188,0.628
hamming_dist_5,6,3,2,7,0,6,13,2,14.974,0.932
hamming_dist_8,10,4,2,7,0,9,11,2,17.965,1.414
hamming_dist_16,18,8,6,12,0,17,10,2,28.877,2.414
hamming_dist_25,33,12,7,22,0,24,15,2,88.519,3.555
hamming_dist_32,35.0,16.0,14.0,9.0,0.0,33.0,19,2,36.386
poly_reg_3
poly_reg_4,3,0,0,3,0,2,8,2,9.217,0.428
poly_reg_5
poly_reg_8,3,0,0,2,0,2,7,2,9.126,0.407
poly_reg_16,3,0,0,1,0,2,6,2,9.560,0.395
poly_reg_25,4,0,0,0,1,2,5,2,15.510,0.377
poly_reg_32,4,0,0,0,1,2,5,2,17.573,0.376
l2_distance_3,2,3,0,0,0,3,4,1,9.893,0.500
l2_distance_4,3,4,0,0,0,4,4,1,9.914,0.675
l2_distance_5,4,5,0,0,0,5,5,1,10.027,0.835
l2_distance_8,7,8,0,0,0,8,5,1,10.698,1.336
l2_distance_16,15,16,0,0,0,16,6,1,12.772,2.660
l2_distance_25,24,25,0,0,0,25,7,1,15.538,4.135
l2_distance_32,31,32,0,0,0,32,7,1,17.889,5.311
dot_product_3,2,0,0,0,0,3,3,1,9.344,0.502
dot_product_4,3,0,0,0,0,4,3,1,9.482,0.664
dot_product_5,4,0,0,0,0,5,4,1,9.491,0.833
dot_product_8,7,0,0,0,0,8,4,1,9.833,1.335
dot_product_16,15,0,0,0,0,16,5,1,10.695,2.661
dot_product_25,24,0,0,0,0,25,6,1,11.923,4.148
dot_product_32,31,0,0,0,0,32,6,1,12.785,5.275
gx_kernel_3,5,2,2,2,2,5,8,3,9.435,0.745
gx_kernel_4,3,2,1,2,3,4,8,2,11.154,0.610
gx_kernel_5,1,4,2,0,0,3,5,1,14.894,0.303
gx_kernel_8
gx_kernel_16
gx_kernel_25
gx_kernel_32
gy_kernel_3,5,2,2,2,2,6,8,3,9.955,0.889
gy_kernel_4,4,3,0,2,4,6,8,2,13.064,1.079
gy_kernel_5,3,3,0,0,3,5,6,1,11.240,0.878
gy_kernel_8
gy_kernel_16
gy_kernel_25
gy_kernel_32
roberts_cross_3,1,2,0,1,2,1,5,1,9.515,0.266
roberts_cross_4,1,2,0,1,2,1,5,1,10.518,0.230
roberts_cross_5,3,2,0,0,3,2,5,1,17.863,0.380
roberts_cross_8
roberts_cross_16
roberts_cross_25
roberts_cross_32
matrix_mul_3,2,0,0,3,0,3,4,1,9.302,0.663
matrix_mul_4,3,0,0,4,0,4,5,1,9.951,0.736
matrix_mul_5,4,0,0,0,0,5,4,1,21.629,0.836
matrix_mul_8
matrix_mul_16
matrix_mul_25
matrix_mul_32
max_3,6,0,0,0,3,6,6,2,9.849,0.882
max_4,12,0,0,0,6,12,8,3,10.870,1.719
max_5,20,0,0,0,10,20,10,4,13.052,2.828
sort_3,8,0,0,0,3,10,8,3,10.290,1.444
sort_4,35,0,0,0,6,58,14,6,17.606,7.872
tree_50-50-5,4.0,0.0,0.0,3.0,0.0,2.0,7,2,10.181,0.449
tree_50-50-10,19.0,0.0,0.0,7.0,0.0,15.0,19,7,152.954,2.665
tree_100-50-5,16.0,0.0,0.0,0.0,0.0,15.0,5,3,10.793,2.525
tree_100-50-10,504.0,0.0,0.0,0.0,0.0,519.0,10,8,245.895,85.453
tree_100-100-5,1.0,0.0,0.0,7.0,0.0,9.0,10,5,9.518,1.427
tree_100-100-10,1.0,0.0,0.0,0.0,0.0,1022.0,10,9,66.175,148.187
