benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time (s),execution_time (s)
max_3,6,0,0,1,3,5,7,2,0.169,0.786 
max_4,14,0,0,1,7,13,11,3,0.340,1.921
max_5,30,0,0,1,13,27,13,4,2.839,3.770
sort_3,10,0,0,1,5,9,9,3,0.252,1.348
sort_4,42,0,0,1,11,57,17,6,35.842,7.678
lin_reg_4,2,0,1,0,0,1,3,1,0.160,0.044 
lin_reg_8,2,0,1,0,0,1,3,1,0.166,0.044
lin_reg_16,2,0,1,0,0,1,3,1,0.179,0.044
lin_reg_32,2,0,1,0,0,1,3,1,0.208,0.044
hamming_dist_4,3,2,0,4,0,3,8,2,0.234,0.641
hamming_dist_8,5,2,0,6,0,3,9,2,1.069,0.746
hamming_dist_16,6,2,0,7,0,3,11,2,7.730,0.782
hamming_dist_32,8,2,0,9,0,3,12,2,9.581,0.882
poly_reg_4,3,0,0,0,0,2,5,2,0.186,0.347
poly_reg_8,3,0,0,0,0,2,5,2,0.220,0.346
poly_reg_16,3,0,0,0,0,2,5,2,0.323,0.346
poly_reg_32,3,0,0,0,0,2,5,2,0.684,0.347
l2_distance_4,3,1,0,3,0,1,5,1,0.169,0.304
l2_distance_8,4,1,0,4,0,1,7,1,0.206,0.339
l2_distance_16,6,1,0,6,0,1,8,1,0.559,0.444
l2_distance_32,7,1,0,7,0,1,10,1,6.563,0.478
dot_product_4,3,0,0,3,0,1,4,1,0.176,0.303
dot_product_8,4,0,0,4,0,1,6,1,0.174,0.339
dot_product_16,6,0,0,6,0,1,7,1,0.263,0.444
dot_product_32,7,0,0,7,0,1,9,1,1.229,0.479
box_blur_4,5,0,0,1,0,0,5,0,0.247,0.137
box_blur_8,5,0,0,1,0,0,5,0,1.070,0.138
box_blur_16,5,0,0,1,0,0,5,0,7.177,0.138
box_blur_32,5,0,0,1,0,0,5,0,12.440,0.140
gx_kernel_4,5,1,2,0,1,3,5,1,0.386,0.294
gx_kernel_8,5,1,2,0,1,3,5,1,3.289,0.295
gx_kernel_16,5,1,2,0,1,3,5,1,9.578,0.295
gx_kernel_32,5,1,2,0,1,3,5,1,13.072,0.297 
gy_kernel_4,9,1,1,0,4,5,6,1,0.377,0.726
gy_kernel_8,9,1,1,0,4,5,6,1,3.307,0.727
gy_kernel_16,9,1,1,0,4,5,6,1,9.750,0.733
gy_kernel_32,9,1,1,0,4,5,6,1,13.928,0.731
roberts_cross_4,3,3,0,0,0,2,4,1,0.266,0.387
roberts_cross_8,3,3,0,0,0,2,4,1,1.152,0.388
roberts_cross_16,3,3,0,0,0,2,4,1,9.116,0.388
roberts_cross_32,3,3,0,0,0,2,4,1,14.539,0.389
matrix_mul_4,3,0,0,3,0,1,4,1,0.261,0.304
matrix_mul_8,4,0,0,4,0,1,6,1,8.046,0.339
matrix_mul_16,6,0,0,6,0,1,7,1,16.034,0.446
matrix_mul_32,31,0,0,0,0,32,6,1,66.815,5.140
tree_50-50-5,3.0,0.0,0.0,1.0,0.0,2.0,5,2,0.165,11.937
tree_50-50-10,15.0,0.0,0.0,2.0,0.0,15.0,12,5,11.371,79.892
tree_100-50-5,14.0,0.0,0.0,2.0,0.0,10.0,11,4,5.533,61.595
tree_100-50-10,332.0,0.0,0.0,6.0,0.0,330.0,27,10,34.317,1685.750
tree_100-100-5,2.0,0.0,0.0,8.0,0.0,9.0,7,4,0.284,50.420
tree_100-100-10,1.0,0.0,0.0,13.0,0.0,13.0,15,9,7.204,72.088
