benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time (s),execution_time (s)
max_3,6,0,0,1,3,5,7,2,0.170,0.786
max_4,14,0,0,1,7,13,11,3,0.341,1.923 
max_5,30,0,0,1,13,27,13,4,2.760,3.773
sort_3,10,0,0,1,5,9,9,3,0.238,1.348
sort_4,42,0,0,1,11,57,17,6,46.774,7.672
lin_reg_4,2,0,1,0,0,1,2,1,0.156,0.045
lin_reg_8,2,0,1,0,0,1,2,1,0.159,0.044
lin_reg_16,2,0,1,0,0,1,2,1,0.175,0.044
lin_reg_32,2,0,1,0,0,1,2,1,0.208,0.044
hamming_dist_4,3,1,0,3,0,3,9,2,0.230,0.575
hamming_dist_8,4,1,0,4,0,3,11,2,1.023,0.609
hamming_dist_16,5,1,0,5,0,3,13,2,7.429,0.645
hamming_dist_32,6,1,0,6,0,3,15,2,9.271,0.681
poly_reg_4,3,0,0,0,0,2,4,2,0.182,0.349
poly_reg_8,3,0,0,0,0,2,4,2,0.216,0.348
poly_reg_16,3,0,0,0,0,2,4,2,0.323,0.348
poly_reg_32,3,0,0,0,0,2,4,2,0.675,0.348
l2_distance_4,2,1,0,2,0,1,6,1,0.168,0.236
l2_distance_8,3,1,0,3,0,1,8,1,0.204,0.271
l2_distance_16,4,1,0,4,0,1,10,1,0.545,0.305
l2_distance_32,5,1,0,5,0,1,12,1,6.253,0.344
dot_product_4,2,0,0,2,0,1,5,1,0.154,0.237
dot_product_8,3,0,0,3,0,1,7,1,0.169,0.270
dot_product_16,4,0,0,4,0,1,9,1,0.325,0.304
dot_product_32,5,0,0,5,0,1,11,1,1.185,0.340
box_blur_4,5,0,0,1,0,0,5,0,0.246,0.138
box_blur_8,5,0,0,1,0,0,5,0,1.067,0.138
box_blur_16,5,0,0,1,0,0,5,0,6.871,0.140
box_blur_32,5,0,0,1,0,0,5,0,12.903,0.142
gx_kernel_4,5,1,2,0,1,3,5,1,0.374,0.296
gx_kernel_8,5,1,2,0,1,3,5,1,3.223,0.296
gx_kernel_16,5,1,2,0,1,3,5,1,9.410,0.297
gx_kernel_32,5,1,2,0,1,3,5,1,13.241,0.299
gy_kernel_4,9,1,1,0,4,5,6,1,0.429,0.731
gy_kernel_8,9,1,1,0,4,5,6,1,3.334,0.730
gy_kernel_16,9,1,1,0,4,5,6,1,9.840,0.733
gy_kernel_32,9,1,1,0,4,5,6,1,15.266,0.736
roberts_cross_4,3,3,0,0,0,2,4,1,0.787,0.391
roberts_cross_8,3,3,0,0,0,2,4,1,2.140,0.388
roberts_cross_16,3,3,0,0,0,2,4,1,11.913,0.390
roberts_cross_32,3,3,0,0,0,2,4,1,27.714,0.392
matrix_mul_4,2,0,0,2,0,1,5,1,0.261,0.238
matrix_mul_8,3,0,0,3,0,1,7,1,7.791,0.271
matrix_mul_16,4,0,0,4,0,1,9,1,16.686,0.308
matrix_mul_32,31,0,0,0,0,32,6,1,77.320,5.171
tree_50-50-5,3.0,0.0,0.0,1.0,0.0,2.0,5,2,0.178,11.906
tree_50-50-10,15.0,0.0,0.0,2.0,0.0,15.0,11,5,18.118,79.718
tree_100-50-5,13.0,0.0,0.0,5.0,0.0,9.0,10,4,0.613,52.348
tree_100-50-10,331.0,0.0,0.0,5.0,0.0,330.0,29,11,131.461,1699.890
tree_100-100-5,2.0,0.0,0.0,6.0,0.0,7.0,8,4,0.260,37.682
tree_100-100-10,1.0,0.0,0.0,9.0,0.0,9.0,19,9,7.028,48.627
