benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time (s),execution_time (s),Remaining_noise_budget
box_blur_3,31,0,0,0,0,0,9,0,0.003,0.192,360.0
box_blur_4,74,0,0,0,0,0,9,0,0.003,0.350,360.0
box_blur_5,135,0,0,0,0,0,9,0,0.003,0.558,360.0
lin_reg_3,6,0,3,0,0,3,3,1,0.003,0.122,359.0
lin_reg_4,8,0,4,0,0,4,3,1,0.003,0.163,359.0
lin_reg_5,10,0,5,0,0,5,3,1,0.003,0.204,358.5
lin_reg_8,16,0,8,0,0,8,3,1,0.003,0.327,359.0
lin_reg_16,32,0,16,0,0,16,3,1,0.003,0.647,359.0
lin_reg_32,64,0,32,0,0,32,3,1,0.003,1.277,359.0
hamming_dist_3,6,3,3,0,0,6,6,2,0.003,0.496,327.0
hamming_dist_4,8,4,4,0,0,8,7,2,0.003,0.661,326.0
hamming_dist_5,10,5,5,0,0,10,8,2,0.003,0.824,326.0
hamming_dist_8,16,8,8,0,0,16,11,2,0.003,1.316,326.0
hamming_dist_16,32,16,16,0,0,32,19,2,0.003,2.615,325.0
hamming_dist_32,64,32,32,0,0,64,35,2,0.004,5.214,325.0
poly_reg_3,9,0,0,0,0,9,5,2,0.003,1.403,296.0
poly_reg_4,12,0,0,0,0,12,5,2,0.003,1.877,296.0
poly_reg_5,15,0,0,0,0,15,5,2,0.003,2.333,296.0
poly_reg_8,24,0,0,0,0,24,5,2,0.003,3.721,296.0
poly_reg_16,48,0,0,0,0,48,5,2,0.003,7.451,296.0
poly_reg_32,96,0,0,0,0,96,5,2,0.004,14.889,296.0
l2_distance_3,2,3,0,0,0,3,4,1,0.003,0.493,327.0
l2_distance_4,3,4,0,0,0,4,5,1,0.003,0.655,326.0
l2_distance_5,4,5,0,0,0,5,6,1,0.003,0.818,326.0
l2_distance_8,7,8,0,0,0,8,9,1,0.003,1.299,326.0
l2_distance_16,15,16,0,0,0,16,17,1,0.003,2.606,325.5
l2_distance_32,31,32,0,0,0,32,33,1,0.004,5.181,325.0
dot_product_3,3,0,0,0,0,3,4,1,0.003,0.494,328.0
dot_product_4,4,0,0,0,0,4,5,1,0.003,0.655,327.0
dot_product_5,5,0,0,0,0,5,6,1,0.003,0.818,327.0
dot_product_8,8,0,0,0,0,8,9,1,0.003,1.297,327.0
dot_product_16,16,0,0,0,0,16,17,1,0.003,2.596,326.0
dot_product_32,32,0,0,0,0,32,33,1,0.003,5.173,326.0
gx_kernel_3,36,0,24,0,0,24,4,1,0.003,0.218,350.5
gx_kernel_4,64,0,48,0,0,48,4,1,0.003,0.383,350.5
gx_kernel_5,100,0,80,0,0,80,4,1,0.004,0.602,341.0
gx_kernel_8,256,0,224,0,0,224,4,1,0.005,1.519,341.0
gx_kernel_16,1024,0,960,0,0,960,4,1,0.013,6.028,341.0
gx_kernel_32,4096,0,3968,0,0,3968,4,1,0.067,23.658,341.0
gy_kernel_3,33,0,24,0,0,24,4,1,0.003,0.214,341.0
gy_kernel_4,64,0,48,0,0,48,4,1,0.003,0.383,350.5
gy_kernel_5,105,0,80,0,0,80,4,1,0.004,0.603,341.0
gy_kernel_8,288,0,224,0,0,224,4,1,0.005,1.532,341.0
gy_kernel_16,1216,0,960,0,0,960,4,1,0.014,6.074,341.0
gy_kernel_32,4992,0,3968,0,0,3968,4,1,0.068,24.213,341.0
roberts_cross_3,63.0,0.0,24.0,0.0,0.0,42.0,6,2,0.004,,308.0
roberts_cross_4,112.0,0.0,44.0,0.0,0.0,76.0,6,2,0.004,,318.0
roberts_cross_5,175.0,0.0,70.0,0.0,0.0,120.0,6,2,0.005,,317.5
roberts_cross_8,448.0,0.0,184.0,0.0,0.0,312.0,6,2,0.007,,308.0
roberts_cross_16,1792.0,0.0,752.0,0.0,0.0,1264.0,6,2,0.020,,317.5
roberts_cross_32,7168.0,0.0,3040.0,0.0,0.0,5088.0,6,2,0.099,,308.0
matrix_mul_3,18,0,0,0,0,27,3,1,0.003,3.694,328.0
matrix_mul_4,48,0,0,0,0,64,4,1,0.003,8.555,327.0
matrix_mul_5,100,0,0,0,0,125,5,1,0.004,16.356,327.0
matrix_mul_8,448,0,0,0,0,512,8,1,0.007,65.489,327.0
matrix_mul_16,3840,0,0,0,0,4096,16,1,0.040,515.775,326.0
max_3,6,0,0,0,3,6,6,2,0.003,1.046,295.0
max_4,12,0,0,0,6,12,8,3,0.003,1.810,262.0
max_5,20,0,0,0,10,20,10,4,0.003,2.815,229.0
sort_3,8,0,0,0,3,10,8,3,0.003,4.318,263.0
sort_4,35,0,0,0,6,58,14,6,0.004,10.315,164.0
tree_50-50-5,4.0,0.0,0.0,0.0,0.0,2.0,4,2,0.004,0.393,296.0
tree_50-50-10,16.0,0.0,0.0,0.0,0.0,16.0,10,5,0.004,2.649,199.0
tree_100-50-5,16.0,0.0,0.0,0.0,0.0,15.0,5,3,0.004,2.510,262.5
tree_100-50-10,504.0,0.0,0.0,0.0,0.0,519.0,10,8,0.011,84.392,66.0
tree_100-100-5,2.0,0.0,0.0,0.0,0.0,29.0,5,4,0.004,4.236,229.0
tree_100-100-10,1.0,0.0,0.0,0.0,0.0,1022.0,10,9,0.013,147.187,63.0
