benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time (s),execution_time (s)
max_3,6,0,0,0,3,6,6,2,0.004,1.028
max_4,14,0,0,0,7,14,8,3,0.005,2.000
max_5,30,0,0,0,15,30,10,4,0.006,3.943
sort_3,10,0,0,0,5,10,8,3,0.004,1.917
sort_4,58,0,0,0,29,58,14,6,0.008,7.738
lin_reg_4,8,0,4,0,0,4,3,1,0.004,0.171 
lin_reg_8,16,0,8,0,0,8,3,1,0.004,0.335 
lin_reg_16,32,0,16,0,0,16,3,1,0.005,0.666
l2_distance_4,3,8,0,0,0,4,5,1,0.004,0.655 
poly_reg_4,12,0,0,0,0,12,5,2,0.004,1.848
poly_reg_8,24,0,0,0,0,24,5,2,0.005,3.684
poly_reg_16,48,0,0,0,0,48,5,2,0.007,7.341
poly_reg_32,96,0,0,0,0,96,5,2,0.010,14.678
l2_distance_8,7,16,0,0,0,8,9,1,0.004,1.307
l2_distance_16,15,32,0,0,0,16,17,1,0.005,2.591
dot_product_4,3,0,0,0,0,4,4,1,0.004,0.649
dot_product_8,7,0,0,0,0,8,8,1,0.004,1.301
dot_product_16,15,0,0,0,0,16,16,1,0.005,2.590 
hamming_dist_4,7,4,4,0,0,8,6,2,0.004,0.656
hamming_dist_8,15,8,8,0,0,16,10,2,0.005,1.300
hamming_dist_16,31,16,16,0,0,32,18,2,0.007,2.594
hamming_dist_32,63,32,32,0,0,64,34,2,0.010,5.170
box_blur_4,84,0,0,0,0,0,8,0,0.007,0.367
box_blur_8,420,0,0,0,0,0,8,0,0.017,1.484
box_blur_16,1860,0,0,0,0,0,8,0,0.066,5.932 
gx_kernel_4,44,0,60,0,0,60,4,1,0.008,0.421
gx_kernel_8,244,0,308,0,0,308,4,1,0.024,1.738
gx_kernel_16,1124,0,1380,0,0,1380,4,1,0.095,7.042
gy_kernel_4,44,0,60,0,0,60,4,1,0.008,0.427
gy_kernel_8,244,0,308,0,0,308,4,1,0.024,1.731
gy_kernel_16,1124,0,1380,0,0,1380,4,1,0.094,6.985 
roberts_cross_4,33,0,49,0,0,80,4,2,0.013,4.172
roberts_cross_8,161,0,225,0,0,352,4,2,0.043,17.061
roberts_cross_16,705,0,961,0,0,1472,4,2,0.175,68.538
matrix_mul_4,48,0,0,0,0,64,4,1,0.007,8.463
matrix_mul_8,448,0,0,0,0,512,8,1,0.035,65.173
matrix_mul_16,3840,0,0,0,0,4096,16,1,0.270,510.452
tree_50-50-5,4.0,0.0,0.0,0.0,0.0,2.0,4,2,0.006,11.990
tree_50-50-10,16.0,0.0,0.0,0.0,0.0,16.0,10,5,0.007,82.062
tree_100-50-5,16.0,0.0,0.0,0.0,0.0,15.0,5,3,0.007,78.765
tree_100-50-10,504.0,0.0,0.0,0.0,0.0,519.0,10,8,0.049,2677.360
tree_100-100-5,2.0,0.0,0.0,0.0,0.0,29.0,5,4,0.007,133.164
tree_100-100-10,1.0,0.0,0.0,0.0,0.0,1022.0,10,9,0.063,4650.610
lin_reg_32,64,0,32,0,0,32,3,1,0.011,1.297
l2_distance_32,31,64,0,0,0,32,33,1,0.014,5.118
dot_product_32,31,0,0,0,0,32,32,1,0.011,5.106
box_blur_32,7812,0,0,0,0,0,8,0,0.313,23.724
gx_kernel_32,4804,0,5828,0,0,5828,4,1,0.478,27.996
gy_kernel_32,4804,0,5828,0,0,5828,4,1,0.469,28.079
roberts_cross_32,2945,0,3969,0,0,6016,4,2,0.846,271.337
matrix_mul_32,31744,0,0,0,0,32768,32,1,2.645,3991.525
