benchmark,add,sub,multiply_plain,rotate_rows,square,multiply,Depth,Multplicative Depth,compile_time( ms ),execution_time (ms)
hamming_dist_4,7,4,4,0,0,8,5.6,2,138.18872,106.2138
hamming_dist_8,15,8,8,0,0,16,9,2,84.07567999999999,211.2502
hamming_dist_16,31,16,16,0,0,32,15.8,2,99.555,418.6036
poly_reg_4,3,0,0,0,0,2,4.8,2,81.2634,53.388780000000004
poly_reg_8,3,0,0,0,0,2,4.6,2,105.22666,53.24866
poly_reg_16,3,0,0,0,0,2,4,2,462.502,53.36958
lin_reg_4,2,0,1,0,0,1,3,1,82.30758,1.239932
lin_reg_8,2,0,1,0,0,1,3,1,84.89994,1.16391
lin_reg_16,2,0,1,0,0,1,3,1,130.1506,1.228412
l2_distance_4,3,4,0,0,0,4,4.4,1,82.45634,104.2476
l2_distance_8,7,8,0,0,0,8,6.6,1,85.71958,207.2398
l2_distance_16,15,16,0,0,0,16,14.8,1,106.50282,412.5014
dot_product_4,3,0,0,0,0,4,4,1,81.37616,103.8738
dot_product_8,7,0,0,0,0,8,6.6,1,149.7538,206.5666
dot_product_16,15,0,0,0,0,16,14.6,1,177.929,410.3818
box_blur_4,8,0,0,0,0,0,6.4,0,85.65362,3.370752
box_blur_8,8,0,0,0,0,0,6.4,0,113.14959999999999,3.422746
box_blur_16,8,0,0,0,0,0,6.4,0,305.971,3.363782
gx_kernel_4,15,0,10,0,0,10,11,1,10463.452,38.05694
