benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time (s),execution_time (s)
max_3,5,1,0,1,2,5,7,2,0.349,0.814
max_4,13,1,0,1,6,13,9,3,1.327,1.954
max_5,27,1,0,1,12,26,11,4,13.152,3.715
sort_3,9,1,0,1,4,9,9,3,1.300,1.387
sort_4,40,1,0,1,10,57,15,6,578.415,7.816
lin_reg_4,2,0,1,0,0,1,3,1,0.194,0.044
lin_reg_8,2,0,1,0,0,1,3,1,0.226,0.044
lin_reg_16,2,0,1,0,0,1,3,1,0.297,0.044
lin_reg_32,2,0,1,0,0,1,3,1,0.478,0.044
hamming_dist_4,3,2,0,4,0,3,8,2,0.994,0.647
hamming_dist_8,5,2,0,6,0,3,9,2,9.311,0.752
hamming_dist_16,6,2,0,7,0,3,11,2,81.383,0.791
hamming_dist_32,8,2,0,9,0,3,12,2,126.881,0.881
poly_reg_4,3,0,0,0,0,2,5,2,0.449,0.346
poly_reg_8,3,0,0,0,0,2,5,2,0.817,0.349
poly_reg_16,3,0,0,0,0,2,5,2,1.985,0.351
poly_reg_32,3,0,0,0,0,2,5,2,6.036,0.350
l2_distance_4,3,1,0,3,0,1,5,1,0.259,0.308
l2_distance_8,4,1,0,4,0,1,7,1,0.545,0.342
l2_distance_16,6,1,0,6,0,1,8,1,3.373,0.448
l2_distance_32,7,1,0,7,0,1,10,1,52.113,0.484
dot_product_4,3,0,0,3,0,1,4,1,0.184,0.307
dot_product_8,4,0,0,4,0,1,6,1,0.252,0.342
dot_product_16,6,0,0,6,0,1,7,1,0.695,0.448
dot_product_32,7,0,0,7,0,1,9,1,6.171,0.484
box_blur_4,5,0,0,1,0,0,5,0,0.795,0.138
box_blur_8,5,0,0,1,0,0,5,0,7.394,0.138
box_blur_16,5,0,0,1,0,0,5,0,60.415,0.139
box_blur_32,5,0,0,1,0,0,5,0,78.782,0.141
gx_kernel_4,5,1,2,0,1,3,5,1,1.147,0.295
gx_kernel_8,5,1,2,0,1,3,5,1,11.907,0.296
gx_kernel_16,5,1,2,0,1,3,5,1,87.626,0.298
gx_kernel_32,5,1,2,0,1,3,5,1,117.865,0.301
gy_kernel_4,9,1,1,0,4,5,6,1,1.169,0.733
gy_kernel_8,9,1,1,0,4,5,6,1,12.005,0.736
gy_kernel_16,9,1,1,0,4,5,6,1,88.553,0.736
gy_kernel_32,9,1,1,0,4,5,6,1,120.875,0.739
roberts_cross_4,3,3,0,0,0,2,4,1,0.843,0.391
roberts_cross_8,3,3,0,0,0,2,4,1,6.856,0.391
roberts_cross_16,3,3,0,0,0,2,4,1,78.191,0.391
roberts_cross_32,3,3,0,0,0,2,4,1,119.665,0.393
matrix_mul_4,3,0,0,3,0,1,4,1,0.736,0.306
matrix_mul_8,4,0,0,4,0,1,6,1,44.955,0.343
matrix_mul_16,6,0,0,6,0,1,7,1,84.732,0.452
matrix_mul_32,31,0,0,0,0,32,6,1,65.784,5.190
tree_50-50-5,3.0,0.0,0.0,1.0,0.0,2.0,5,2,0.223,0.384
tree_50-50-10,15.0,0.0,0.0,2.0,0.0,15.0,12,5,158.446,2.475
tree_100-50-5,14.0,0.0,0.0,7.0,0.0,10.0,9,4,4.320,1.895
tree_100-50-10,332.0,0.0,0.0,6.0,0.0,330.0,27,10,323.385,53.429
tree_100-100-5,2.0,0.0,0.0,8.0,0.0,9.0,7,4,0.284,1.533
tree_100-100-10,1.0,0.0,0.0,13.0,0.0,13.0,15,9,21.100,2.219
