benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time (s),execution_time (s),Remaining_noise_budget
max_3,4.0,1.0,0.0,3.0,1.0,3.0,9.0,2.0,5.070,0.271,293
max_4,8.0,1.0,0.0,3.0,3.0,7.0,11.0,3.0,5.433,0.521,262
max_5,12.0,2.0,0.0,5.0,4.0,12.0,15.0,4.0,36.212,0.910,229
sort_3,6.0,1.0,0.0,3.0,2.0,5.0,11.0,3.0,5.084,0.398,262
sort_4,35.0,1.0,0.0,5.0,13.0,26.0,21.0,6.0,125.802,1.854,163
box_blur_3,6.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,5.157,0.102,356
box_blur_4,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,4.988,0.073,357
box_blur_5,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.057,0.095,359
box_blur_8,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.267,0.108,359
box_blur_16,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,22.452,0.104,359
box_blur_32
lin_reg_3,2.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,4.750,0.154,328
lin_reg_4,2.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,5.123,0.122,328
lin_reg_5,2.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,5.268,0.143,327
lin_reg_8,2.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,5.078,0.120,327
lin_reg_16,2.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,4.856,0.098,328
lin_reg_32,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,4.860,0.029,359
hamming_dist_3,3.0,1.0,0.0,3.0,0.0,2.0,8.0,2.0,4.819,0.204,295
hamming_dist_4,3.0,1.0,0.0,4.0,0.0,2.0,8.0,2.0,4.926,0.214,295
hamming_dist_5,5.0,2.0,1.0,3.0,0.0,5.0,10.0,2.0,5.050,0.351,295
hamming_dist_8,4.0,1.0,0.0,5.0,0.0,2.0,10.0,2.0,5.358,0.220,295
hamming_dist_16,5.0,1.0,0.0,6.0,0.0,2.0,12.0,2.0,9.429,0.240,294
hamming_dist_32,7.0,1.0,0.0,5.0,0.0,3.0,14.0,2.0,42.134,0.304,292
poly_reg_3,3.0,0.0,0.0,3.0,0.0,2.0,8.0,2.0,5.141,0.237,295
poly_reg_4,3.0,0.0,0.0,3.0,0.0,2.0,8.0,2.0,4.995,0.188,295
poly_reg_5,3.0,0.0,0.0,2.0,0.0,2.0,7.0,2.0,4.810,0.216,295
poly_reg_8,3.0,0.0,0.0,2.0,0.0,2.0,7.0,2.0,4.849,0.190,296
poly_reg_16,3.0,0.0,0.0,1.0,0.0,2.0,6.0,2.0,4.978,0.174,295
poly_reg_32,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,5.008,0.171,296
l2_distance_3,2.0,1.0,0.0,3.0,0.0,1.0,7.0,1.0,4.759,0.125,324
l2_distance_4,2.0,1.0,0.0,4.0,0.0,1.0,8.0,1.0,4.850,0.138,324
l2_distance_5,6.0,3.0,0.0,3.0,0.0,3.0,12.0,2.0,4.981,0.290,294
l2_distance_8,3.0,1.0,0.0,4.0,0.0,1.0,9.0,1.0,4.986,0.151,324
l2_distance_16,4.0,1.0,0.0,5.0,0.0,1.0,11.0,1.0,7.307,0.163,322
l2_distance_32,5.0,1.0,0.0,5.0,0.0,1.0,12.0,1.0,23.812,0.154,325
dot_product_3,2.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,4.927,0.116,327
dot_product_4,2.0,0.0,0.0,3.0,0.0,1.0,6.0,1.0,4.753,0.121,324
dot_product_5,4.0,0.0,0.0,3.0,0.0,3.0,9.0,2.0,5.633,0.270,294
dot_product_8,3.0,0.0,0.0,4.0,0.0,1.0,8.0,1.0,4.884,0.137,324
dot_product_16,4.0,0.0,0.0,5.0,0.0,1.0,10.0,1.0,5.161,0.149,323
dot_product_32,5.0,0.0,0.0,5.0,0.0,1.0,11.0,1.0,7.325,0.163,326
gx_kernel_3,6.0,0.0,2.0,1.0,2.0,4.0,8.0,2.0,4.863,0.265,303
gx_kernel_4,4.0,0.0,1.0,1.0,2.0,3.0,6.0,1.0,5.155,0.203,327
gx_kernel_5,5.0,0.0,2.0,0.0,2.0,3.0,5.0,1.0,5.206,0.161,328
gx_kernel_8,5.0,0.0,2.0,0.0,3.0,5.0,6.0,3.0,7.387,0.270,275
gx_kernel_16,4.0,1.0,2.0,0.0,2.0,5.0,6.0,3.0,36.772,0.268,275
gx_kernel_32
gy_kernel_3,3.0,0.0,1.0,1.0,2.0,3.0,6.0,1.0,5.225,0.205,327
gy_kernel_4,3.0,0.0,0.0,1.0,3.0,3.0,6.0,1.0,5.473,0.236,327
gy_kernel_5,6.0,0.0,0.0,0.0,5.0,5.0,6.0,1.0,5.309,0.414,327
gy_kernel_8,5.0,1.0,0.0,0.0,5.0,8.0,8.0,3.0,8.660,0.617,263
gy_kernel_16,6.0,1.0,0.0,0.0,5.0,8.0,8.0,3.0,42.719,0.612,263
gy_kernel_32
