benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time (s),execution_time (s)
max_3,5.0,1.0,0.0,1.0,2.0,5.0,7.0,2.0,0.066,0.346
max_4,13.0,1.0,0.0,1.0,6.0,13.0,9.0,3.0,0.096,0.832
max_5,27.0,1.0,0.0,1.0,12.0,26.0,11.0,4.0,0.396,1.553
sort_3,9.0,1.0,0.0,1.0,4.0,9.0,9.0,3.0,0.092,0.577
sort_4,40.0,1.0,0.0,1.0,10.0,57.0,15.0,6.0,12.114,3.233
lin_reg_4,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.058,0.020
lin_reg_8,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.066,0.020
hamming_dist_4,3.0,2.0,0.0,4.0,0.0,3.0,8.0,2.0,0.100,0.273
hamming_dist_8,5.0,2.0,0.0,6.0,0.0,3.0,9.0,2.0,0.381,0.319
poly_reg_4,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.069,0.150
poly_reg_8,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.086,0.152
l2_distance_4,3.0,1.0,0.0,3.0,0.0,1.0,5.0,1.0,0.065,0.133
l2_distance_8,4.0,1.0,0.0,4.0,0.0,1.0,7.0,1.0,0.079,0.147
dot_product_4,3.0,0.0,0.0,3.0,0.0,1.0,4.0,1.0,0.062,0.135
dot_product_8,4.0,0.0,0.0,4.0,0.0,1.0,6.0,1.0,0.065,0.146
box_blur_4,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.094,0.064
box_blur_8,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.385,0.064
gx_kernel_4,5.0,1.0,2.0,0.0,1.0,3.0,5.0,1.0,0.139,0.131
gx_kernel_8,5.0,1.0,2.0,0.0,1.0,3.0,5.0,1.0,1.152,0.130
gy_kernel_4,9.0,1.0,1.0,0.0,4.0,5.0,6.0,1.0,0.139,0.314
gy_kernel_8,9.0,1.0,1.0,0.0,4.0,5.0,6.0,1.0,1.162,0.315
roberts_cross_4,3.0,3.0,0.0,0.0,0.0,2.0,4.0,1.0,0.097,0.170
roberts_cross_8,3.0,3.0,0.0,0.0,0.0,2.0,4.0,1.0,0.418,0.172
matrix_mul_4,3.0,0.0,0.0,3.0,0.0,1.0,4.0,1.0,0.098,0.131
matrix_mul_8,4.0,0.0,0.0,4.0,0.0,1.0,6.0,1.0,2.796,0.148
tree_50-50-5,3.0,0.0,0.0,1.0,0.0,2.0,5.0,2.0,0.065,0.167
tree_50-50-10,15.0,0.0,0.0,2.0,0.0,15.0,12.0,5.0,4.005,1.045
tree_100-50-5,14.0,0.0,0.0,2.0,0.0,10.0,11.0,4.0,1.929,0.760
tree_100-50-10,332.0,0.0,0.0,6.0,0.0,330.0,27.0,10.0,11.035,22.441
tree_100-100-5,2.0,0.0,0.0,8.0,0.0,9.0,7.0,4.0,0.087,0.626
tree_100-100-10,1.0,0.0,0.0,13.0,0.0,13.0,15.0,9.0,2.427,0.911
