benchmark,add,sub,multiply_plain,rotate_rows,square,multiply,Depth,Multplicative Depth,compile_time( ms ),execution_time (ms)
hamming_dist,42,21,21,0,0,42,22,1,120,291
poly_reg,10,0,2,0,0,10,6,2,6999,163
lin_reg,7,0,5,0,0,5,4,1,6574,6
l2_distance,20,21,0,0,0,21,22,0,66,282
dot_product,20,0,0,0,0,21,21,0,72,284 
box_blur,1247,0,85,0,0,85,92,0,32790,1242
gx_kernel,902,0,694,0,0,694,92,2,586488,4141
gy_kernel,1758,0,1040,0,0,1040,91,1,485729,7239
sobel,1406,0,892,0,0,1062,92,2,1014600,18296
roberts_cross,442,0,332,0,0,674,89,4,689723,32265
