benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time (s),execution_time (s),Remaining_noise_budget
max_3,5,1,0,1,2,5,7,2,0.168,0.804,295.0
max_4,13,1,0,1,6,13,9,3,0.239,1.930,262.0
max_5,27,1,0,1,12,26,12,4,1.170,3.687,229.0
sort_3,9,1,0,1,4,9,9,3,0.232,1.370,262.0
sort_4,40,1,0,1,10,57,15,6,33.993,7.762,163.5
discrete_cosin_transform_1,6,4,2,0,0,4,7,2,0.372,0.531,308.0
poly_derivative_1,3,0,0,1,0,3,6,2,0.167,0.483,295.0
lin_reg_4,2,0,1,0,0,1,3,1,0.152,0.043,359.0
lin_reg_8,2,0,1,0,0,1,3,1,0.158,0.043,359.0
lin_reg_16,2,0,1,0,0,1,3,1,0.167,0.043,359.0
lin_reg_32,2,0,1,0,0,1,3,1,0.199,0.043,359.0
poly_reg_4,3,0,0,0,0,2,5,2,0.173,0.345,296.0
poly_reg_8,3,0,0,0,0,2,5,2,0.206,0.345,296.0
poly_reg_16,3,0,0,0,0,2,5,2,0.307,0.346,296.0
poly_reg_32,3,0,0,0,0,2,5,2,0.639,0.346,296.0
dot_product_4,3,0,0,3,0,1,4,1,0.152,0.303,327.5
dot_product_8,4,0,0,4,0,1,6,1,0.164,0.338,327.0
dot_product_16,6,0,0,6,0,1,7,1,0.243,0.442,326.5
dot_product_32,7,0,0,7,0,1,9,1,1.045,0.478,326.0
gx_kernel_4,5,1,2,0,1,3,5,1,0.313,0.296,328.0
gx_kernel_8,4,2,2,0,0,3,4,1,1.012,0.225,339.0
gx_kernel_16,5,4,4,0,0,4,5,1,3.226,0.257,338.0
gx_kernel_32,5,4,4,0,0,4,5,1,8.071,0.261,337.0
gy_kernel_4,9.0,1.0,1.5,0.0,3.5,5.0,6,1,0.312
gy_kernel_8,11,1,7,0,0,7,6,1,0.407,0.356,338.0
gy_kernel_16,11,1,7,0,0,7,6,1,3.294,0.357,337.0
gy_kernel_32,11,1,7,0,0,7,6,1,8.419,0.363,336.0
roberts_cross_4,3,3,0,0,0,2,4,1,0.241,0.386,327.0
roberts_cross_8,3,2,0,0,0,2,4,1,0.597,0.367,327.0
roberts_cross_16,3,2,0,0,0,2,4,1,5.449,0.368,327.0
roberts_cross_32,3,2,0,0,0,2,4,1,13.685,0.369,327.0
matrix_mul_4,3,0,0,3,0,1,4,1,0.241,0.303,327.0
matrix_mul_8,4,0,0,4,0,1,6,1,6.663,0.339,326.0
matrix_mul_16,6,0,0,6,0,1,7,1,46.546,0.446,325.0
matrix_mul_32,10,0,0,7,0,4,8,1,366.276,0.947,325.0
tree_50-50_5_1,4,0,0,1,0,2,5,2,0.153,0.402,296.0
tree_50-50_5_2,3,0,0,1,0,2,5,2,0.155,0.381,296.0
tree_50-50_10_1,16,0,0,1,0,16,10,5,0.716,2.602,197.0
tree_50-50_10_2,16,0,0,2,0,15,12,5,10.528,2.458,198.0
tree_100-50_5_1,15,0,0,7,0,10,7,3,0.199,1.864,262.5
tree_100-50_5_2,14,0,0,6,0,9,10,4,0.562,1.689,230.5
tree_100-50_10_1,340,0,0,19,0,343,21,11,46.984,53.762,31.0
tree_100-50_10_2,426,0,0,5,0,354,25,10,68.855,58.059,65.0
tree_100-100_5_1,1,0,0,4,0,4,9,4,0.191,0.662,230.0
tree_100-100_5_2,2,0,0,6,0,7,8,4,0.174,1.134,230.0
tree_100-100_10_1,1,0,0,9,0,9,19,9,45.909,1.440,67.0
tree_100-100_10_2,0,0,0,9,0,10,19,10,305.780,1.561,34.5
