benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time (s),execution_time (s),Remaining_noise_budget
max_3,4.0,1.0,0.0,3.0,1.0,3.0,9.0,2.0,28.391,0.592,293
max_4,8.0,1.0,0.0,3.0,3.0,7.0,11.0,3.0,26.884,1.213,262
max_5,12.0,2.0,0.0,5.0,4.0,12.0,15.0,4.0,49.772,2.057,228
sort_3,6.0,1.0,0.0,3.0,2.0,5.0,11.0,3.0,27.591,0.906,262
sort_4,35.0,1.0,0.0,5.0,13.0,26.0,21.0,6.0,71.318,4.126,163
box_blur_3,6.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,17.396,0.196,356
box_blur_4,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,11.461,0.146,357
box_blur_5,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,11.367,0.184,359
box_blur_8
box_blur_16
box_blur_32
lin_reg_3
lin_reg_4,2.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,10.569,0.244,327
lin_reg_5
lin_reg_8,2.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,15.643,0.244,327
lin_reg_16,2.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,11.038,0.207,328
lin_reg_32,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,11.866,0.043,359
hamming_dist_3,3.0,1.0,0.0,3.0,0.0,2.0,8.0,2.0,16.329,0.446,295
hamming_dist_4,3.0,1.0,0.0,4.0,0.0,2.0,8.0,2.0,16.848,0.461,295
hamming_dist_5,5.0,2.0,1.0,3.0,0.0,5.0,10.0,2.0,24.198,0.791,295
hamming_dist_8,4.0,1.0,0.0,5.0,0.0,2.0,10.0,2.0,19.062,0.502,295
hamming_dist_16,5.0,1.0,0.0,6.0,0.0,2.0,12.0,2.0,12.138,0.537,294
hamming_dist_32,7.0,1.0,0.0,5.0,0.0,3.0,14.0,2.0,33.059,0.688,293
poly_reg_3
poly_reg_4,3.0,0.0,0.0,3.0,0.0,2.0,8.0,2.0,22.872,0.424,295
poly_reg_5
poly_reg_8,3.0,0.0,0.0,2.0,0.0,2.0,7.0,2.0,13.059,0.409,295
poly_reg_16,3.0,0.0,0.0,1.0,0.0,2.0,6.0,2.0,20.195,0.373,295
poly_reg_32,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,10.625,0.354,296
l2_distance_3,2.0,1.0,0.0,3.0,0.0,1.0,7.0,1.0,14.836,0.281,325
l2_distance_4,2.0,1.0,0.0,4.0,0.0,1.0,8.0,1.0,13.712,0.297,324
l2_distance_5,6.0,3.0,0.0,3.0,0.0,3.0,12.0,2.0,17.793,0.634,294
l2_distance_8,3.0,1.0,0.0,4.0,0.0,1.0,9.0,1.0,23.724,0.319,324
l2_distance_16,4.0,1.0,0.0,5.0,0.0,1.0,11.0,1.0,18.097,0.355,323
l2_distance_32,5.0,1.0,0.0,5.0,0.0,1.0,12.0,1.0,27.713,0.354,324
dot_product_3,2.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,11.397,0.243,327
dot_product_4,2.0,0.0,0.0,3.0,0.0,1.0,6.0,1.0,17.961,0.260,324
dot_product_5,4.0,0.0,0.0,3.0,0.0,3.0,9.0,2.0,14.298,0.592,294
dot_product_8,3.0,0.0,0.0,4.0,0.0,1.0,8.0,1.0,9.519,0.295,324
dot_product_16,4.0,0.0,0.0,5.0,0.0,1.0,10.0,1.0,14.432,0.333,323
dot_product_32,5.0,0.0,0.0,5.0,0.0,1.0,11.0,1.0,16.449,0.356,326
gx_kernel_3,6.0,0.0,2.0,1.0,2.0,4.0,8.0,2.0,23.659,0.521,303
gx_kernel_4,4.0,0.0,1.0,1.0,2.0,3.0,6.0,1.0,13.188,0.428,327
gx_kernel_5,5.0,0.0,2.0,0.0,2.0,3.0,5.0,1.0,11.737,0.300,329
gx_kernel_8
gx_kernel_16
gx_kernel_32
gy_kernel_3,3.0,0.0,1.0,1.0,2.0,3.0,6.0,1.0,19.236,0.443,328
gy_kernel_4,3.0,0.0,0.0,1.0,3.0,3.0,6.0,1.0,23.068,0.536,327
gy_kernel_5,6.0,0.0,0.0,0.0,5.0,5.0,6.0,1.0,17.672,0.873,327
gy_kernel_8
gy_kernel_16
gy_kernel_32
roberts_cross_3,3.0,0.0,0.0,2.0,3.0,2.0,5.0,1.0,19.315,0.483,325
roberts_cross_4,3.0,0.0,0.0,2.0,3.0,2.0,5.0,1.0,16.341,0.411,325
roberts_cross_5,4.0,0.0,0.0,0.0,4.0,2.0,4.0,1.0,24.417,0.355,327
roberts_cross_8
roberts_cross_16
roberts_cross_32
matrix_mul_3,2.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,10.392,0.407,327
matrix_mul_4,2.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,11.558,0.370,327
matrix_mul_5,4.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,18.099,0.827,327
matrix_mul_8
matrix_mul_16
matrix_mul_32
tree_50-50_5_1,5.0,0.0,0.0,2.0,0.0,2.0,7.0,2.0,17.498,0.450,296
tree_50-50_10_1,19.0,0.0,0.0,2.0,0.0,16.0,12.0,5.0,14.521,2.719,197
tree_100-50_5_1,24.0,0.0,0.0,3.0,0.0,9.0,15.0,5.0,36.147,1.806,200
tree_100-50_10_1,534.0,0.0,0.0,3.0,0.0,497.0,19.0,10.0,67.031,82.204,33
tree_100-100_5_1,1.0,0.0,0.0,5.0,0.0,4.0,10.0,4.0,25.554,0.707,229
tree_100-100_10_1,1.0,0.0,0.0,2.0,0.0,256.0,12.0,9.0,23.323,36.898,63
