benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time (s),execution_time (s)
box_blur_3,6.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,9.199,0.197
box_blur_4,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,9.482,0.139
box_blur_5,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.833,0.184
box_blur_8
box_blur_16
box_blur_32
lin_reg_3
lin_reg_4,2.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,8.998,0.243
lin_reg_5
lin_reg_8,2.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,9.302,0.243
lin_reg_16,2.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,9.033,0.207
lin_reg_32,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,9.266,0.043
hamming_dist_3,4.0,1.0,0.0,3.0,0.0,3.0,10.0,2.0,9.180,0.591
hamming_dist_4,3.0,1.0,0.0,4.0,0.0,2.0,8.0,2.0,9.179,0.460
hamming_dist_5,8.0,3.0,2.0,3.0,0.0,7.0,13.0,4.0,9.298,0.951
hamming_dist_8,4.0,1.0,0.0,5.0,0.0,2.0,10.0,2.0,9.613,0.500
hamming_dist_16,5.0,1.0,0.0,6.0,0.0,2.0,12.0,2.0,11.865,0.538
hamming_dist_32,7.0,1.0,0.0,5.0,0.0,3.0,14.0,2.0,28.044,0.687
poly_reg_3
poly_reg_4,3.0,0.0,0.0,2.0,0.0,2.0,7.0,2.0,9.237,0.389
poly_reg_5
poly_reg_8,3.0,0.0,0.0,1.0,0.0,2.0,6.0,2.0,9.239,0.373
poly_reg_16,3.0,0.0,0.0,1.0,0.0,2.0,6.0,2.0,9.408,0.372
poly_reg_32,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,9.567,0.353
l2_distance_3,2.0,1.0,0.0,3.0,0.0,1.0,7.0,1.0,9.077,0.281
l2_distance_4,2.0,1.0,0.0,3.0,0.0,1.0,7.0,1.0,9.219,0.281
l2_distance_5,4.0,3.0,0.0,3.0,0.0,3.0,11.0,2.0,9.272,0.613
l2_distance_8,3.0,1.0,0.0,4.0,0.0,1.0,9.0,1.0,9.355,0.318
l2_distance_16,4.0,1.0,0.0,4.0,0.0,1.0,10.0,1.0,10.467,0.318
l2_distance_32,5.0,1.0,0.0,5.0,0.0,1.0,12.0,1.0,19.167,0.354
dot_product_3,2.0,0.0,0.0,3.0,0.0,1.0,6.0,1.0,8.950,0.260
dot_product_4,2.0,0.0,0.0,3.0,0.0,1.0,6.0,1.0,8.983,0.260
dot_product_5,4.0,0.0,0.0,3.0,0.0,3.0,9.0,2.0,9.020,0.594
dot_product_8,3.0,0.0,0.0,4.0,0.0,1.0,8.0,1.0,9.139,0.298
dot_product_16,4.0,0.0,0.0,5.0,0.0,1.0,10.0,1.0,9.505,0.332
dot_product_32,5.0,0.0,0.0,5.0,0.0,1.0,11.0,1.0,10.715,0.355
gx_kernel_3,6.0,0.0,2.0,1.0,1.0,4.0,7.0,2.0,9.142,0.519
gx_kernel_4,6.0,0.0,1.0,1.0,2.0,3.0,7.0,1.0,9.562,0.465
gx_kernel_5,7.0,0.0,2.0,0.0,2.0,3.0,6.0,1.0,9.585,0.341
gx_kernel_8
gx_kernel_16
gx_kernel_32
gy_kernel_3,5.0,0.0,1.0,1.0,2.0,3.0,7.0,1.0,9.211,0.485
gy_kernel_4,6.0,0.0,0.0,1.0,3.0,3.0,7.0,1.0,9.319,0.600
gy_kernel_5,9.0,0.0,0.0,0.0,5.0,5.0,6.0,1.0,9.818,0.911
gy_kernel_8
gy_kernel_16
gy_kernel_32
roberts_cross_3,5.0,0.0,0.0,1.0,2.0,1.0,6.0,1.0,9.337,0.285
roberts_cross_4,5.0,0.0,0.0,1.0,2.0,1.0,6.0,1.0,9.564,0.249
roberts_cross_5,6.0,0.0,0.0,0.0,3.0,2.0,5.0,1.0,9.807,0.377
roberts_cross_8
roberts_cross_16
roberts_cross_32
matrix_mul_3,2.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,9.139,0.406
matrix_mul_4,2.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,9.267,0.370
matrix_mul_5,4.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,9.824,0.825
matrix_mul_8
matrix_mul_16
matrix_mul_32
max_3,2.0,1.0,0.0,3.0,0.0,2.0,8.0,2.0,9.064,0.424
max_4,9.0,0.0,0.0,2.0,4.0,7.0,11.0,3.0,9.495,1.158
max_5,33.0,1.0,0.0,3.0,13.0,27.0,14.0,4.0,9.792,4.098
sort_3,13.0,0.0,0.0,2.0,5.0,7.0,12.0,3.0,9.164,1.178
sort_4,82.0,3.0,0.0,10.0,27.0,59.0,23.0,6.0,25.479,9.209
tree_50-50-5,3.0,0.0,0.0,3.0,0.0,2.0,8.0,2.0,8.858,0.426
tree_50-50-10,18.0,0.0,0.0,2.0,0.0,15.0,15.0,5.0,9.583,2.584
tree_100-50-5,20.0,0.0,0.0,2.0,0.0,11.0,10.0,3.0,9.895,2.043
tree_100-50-10,522.0,0.0,0.0,2.0,0.0,484.0,16.0,8.0,366.199,79.972
tree_100-100-5,1.0,0.0,0.0,5.0,0.0,4.0,10.0,4.0,9.531,0.707
tree_100-100-10,1.0,0.0,0.0,2.0,0.0,256.0,12.0,9.0,20.654,37.077
